station_id,timestamp,latitude,longitude,tiger_id,flank_side
ST-19,2011-12-18,21.78576,79.51448,PTR-T02,Left
ST-01,2011-02-19,21.80365,79.44948,PTR-T01,Left
ST-15,2011-02-20,21.74656,79.50986,PTR-T01,Left
ST-01,2011-12-20,21.8036,79.4693,PTR-T03,Right
ST-20,2011-12-16,21.796,79.43347,PTR-T06,Left
ST-17,2011-12-19,21.76392,79.43975,PTR-T06,Left
ST-18,2011-02-09,21.77257,79.5106,PTR-T02,Right
ST-20,2011-12-18,21.7943,79.48989,PTR-T05,Right
ST-17,2011-12-12,21.76512,79.51026,PTR-T02,Left
ST-11,2011-12-13,21.70921,79.49602,PTR-T06,Right
ST-19,2011-12-10,21.78623,79.47501,PTR-T04,Right
ST-11,2011-12-15,21.70836,79.48508,PTR-T05,Right
ST-20,2011-12-20,21.79854,79.49404,PTR-T06,Left
ST-19,2011-12-22,21.78607,79.46347,PTR-T03,Left
ST-20,2011-12-23,21.79214,79.53971,PTR-T04,Right
ST-15,2011-12-12,21.74493,79.46271,PTR-T03,Left
ST-15,2011-12-22,21.74534,79.4187,PTR-T04,Left
ST-19,2011-02-20,21.78808,79.48637,PTR-T05,Left
ST-01,2011-02-24,21.80328,79.46683,PTR-T03,Right
ST-17,2011-02-17,21.76333,79.44476,PTR-T01,Right
ST-18,2011-12-20,21.77002,79.51069,PTR-T02,Right
ST-16,2011-12-12,21.75738,79.46379,PTR-T03,Left
ST-14,2011-12-26,21.7396,79.48568,PTR-T05,Right
ST-16,2011-12-10,21.75131,79.40838,PTR-T03,Left
ST-13,2011-12-26,21.72618,79.44845,PTR-T01,Right
ST-16,2011-12-18,21.75085,79.46094,PTR-T03,Right
ST-18,2011-02-17,21.77432,79.50778,PTR-T01,Left
ST-13,2011-12-20,21.72932,79.44127,PTR-T01,Right
ST-12,2011-02-23,21.7194,79.42511,PTR-T05,Left
ST-20,2011-12-12,21.79656,79.47156,PTR-T04,Right
ST-09,2011-12-23,21.6878,79.4768,PTR-T04,Right
ST-19,2011-02-09,21.78404,79.45279,PTR-T02,Left
ST-15,2011-12-23,21.74635,79.48771,PTR-T05,Right
ST-17,2011-12-13,21.76665,79.45117,PTR-T02,Left
ST-18,2011-12-17,21.77978,79.46776,PTR-T03,Right
ST-17,2011-02-20,21.76745,79.49399,PTR-T06,Left
ST-19,2011-12-22,21.78991,79.47893,PTR-T04,Left
ST-15,2011-12-21,21.74316,79.44299,PTR-T01,Left
ST-05,2009-12-18,21.84377,79.43165,PTR-T06,Left
ST-16,2011-12-21,21.75974,79.51514,PTR-T02,Right
ST-16,2011-12-26,21.75257,79.4509,PTR-T02,Right
ST-15,2011-02-12,21.742,79.46717,PTR-T03,Left
ST-17,2011-12-10,21.76297,79.42639,PTR-T05,Right
ST-13,2011-02-17,21.72052,79.47757,PTR-T04,Left
ST-14,2011-12-11,21.73901,79.50199,PTR-T01,Right
ST-11,2011-12-23,21.70457,79.5047,PTR-T01,Right
ST-17,2011-12-10,21.76705,79.50362,PTR-T01,Right
ST-19,2011-02-17,21.78877,79.5173,PTR-T02,Left
ST-12,2011-12-23,21.71713,79.516,PTR-T02,Right
ST-16,2011-02-19,21.75732,79.4485,PTR-T01,Right
ST-14,2011-12-21,21.73646,79.42211,PTR-T05,Right
ST-08,2011-12-16,21.67053,79.44712,PTR-T01,Left
ST-13,2011-12-09,21.72486,79.49421,PTR-T06,Left
ST-13,2011-12-21,21.72849,79.52224,PTR-T03,Left
ST-12,2011-02-24,21.71374,79.49451,PTR-T06,Right
ST-18,2011-02-17,21.77405,79.5377,PTR-T04,Right
ST-09,2011-12-10,21.68499,79.47958,PTR-T04,Left
ST-17,2011-02-26,21.76064,79.55159,PTR-T06,Right
ST-17,2011-12-10,21.76066,79.4289,PTR-T05,Left
ST-19,2011-12-16,21.78816,79.41199,PTR-T04,Right
ST-10,2011-12-16,21.69302,79.5111,PTR-T02,Left
ST-11,2011-12-17,21.70377,79.48646,PTR-T05,Right
ST-15,2011-02-26,21.74717,79.50869,PTR-T01,Left
ST-14,2011-12-20,21.73639,79.4296,PTR-T05,Left
ST-14,2011-02-17,21.73351,79.50978,PTR-T01,Right
ST-16,2011-02-19,21.75498,79.53859,PTR-T04,Left
ST-19,,21.78054,79.52628,PTR-T03,Left
ST-12,2011-12-22,21.71489,79.503,PTR-T01,Left
ST-16,2011-12-12,21.75186,79.49397,PTR-T06,Left
ST-12,2011-12-15,21.71808,79.48085,PTR-T05,Left
ST-12,2011-02-23,21.7137,79.43991,PTR-T06,Left
ST-14,2011-02-17,21.73896,79.50645,PTR-T01,Left
ST-11,2011-12-23,21.70897,79.51138,PTR-T02,Right
ST-12,2011-12-10,21.71861,79.46675,PTR-T03,Left
ST-11,2011-12-21,21.704,79.50465,PTR-T01,Left
ST-16,2011-12-17,21.75731,79.53349,PTR-T04,Right
ST-10,2011-12-21,21.69235,79.58663,PTR-T03,Right
ST-11,2011-12-15,21.70173,79.47559,PTR-T04,Left
ST-06,2011-12-15,21.65869,79.46721,PTR-T03,Left
ST-20,2011-02-19,21.7961,79.48059,PTR-T05,Left
ST-10,2011-12-19,21.69324,79.47396,PTR-T04,Right
ST-01,2009-12-18,21.80356,79.44307,PTR-T01,Right
ST-19,2009-12-28,21.78588,79.47273,PTR-T04,Right
ST-10,2011-02-17,21.69477,79.5348,PTR-T04,Right
ST-17,2011-12-25,21.76403,79.46425,PTR-T03,Right
ST-16,2009-12-15,21.75657,79.41625,PTR-T04,Left
ST-13,2011-12-10,21.72252,79.44771,PTR-T01,Right
ST-14,2011-12-17,21.73776,79.47852,PTR-T04,Left
ST-16,2011-12-10,21.75984,79.51556,PTR-T02,Left
ST-14,2009-12-09,21.73301,79.44359,PTR-T01,Left
ST-16,2011-12-17,21.75885,79.49675,PTR-T06,Right
ST-12,2009-11-04,21.71399,79.48995,PTR-T05,Right
ST-14,2009-12-13,21.73199,79.38119,PTR-T01,Left
ST-11,2011-12-09,21.70064,79.47429,PTR-T04,Left
ST-20,2005-01-12,21.79281,79.48072,PTR-T05,Right
ST-16,2011-12-10,21.75325,79.51264,PTR-T02,Right
ST-12,2011-12-20,21.71478,79.46483,PTR-T03,Left
ST-17,,21.76032,79.42399,PTR-T05,Left
ST-11,2011-12-11,21.70506,79.50656,PTR-T01,Left
ST-14,2011-12-16,21.73508,79.44179,PTR-T01,Right
ST-13,2009-11-18,21.72271,79.45847,PTR-T02,Left
ST-13,,21.72547,79.48891,PTR-T05,Right
ST-15,,21.74766,79.43974,PTR-T06,Right
ST-13,2009-12-05,21.72226,79.44675,PTR-T01,Right
ST-12,2009-11-20,21.71326,79.52501,PTR-T03,Left
ST-01,2009-11-13,21.80761,79.46718,PTR-T03,Right
ST-19,2009-12-27,21.78186,79.41586,PTR-T04,Right
ST-15,2011-12-10,21.74582,79.52332,PTR-T03,Left
ST-11,2009-11-21,21.70969,79.50798,PTR-T01,Right
ST-12,,21.71581,79.47141,PTR-T04,Right
ST-11,2009-11-18,21.70267,79.51004,PTR-T02,Left
ST-13,2009-12-28,21.72539,79.49343,PTR-T06,Left
ST-11,2011-12-21,21.70746,79.54028,PTR-T05,Right
ST-18,,21.77579,79.46617,PTR-T03,Right
ST-05,2011-12-15,21.64956,79.45141,PTR-T02,Right
ST-12,2009-11-21,21.71157,79.47058,PTR-T04,Right
ST-14,2011-02-24,21.73594,79.49032,PTR-T06,Right
ST-09,2011-12-19,21.68606,79.56778,PTR-T01,Left
ST-10,2011-02-22,21.6913,79.50394,PTR-T01,Right
ST-14,2011-12-11,21.73333,79.52864,PTR-T03,Left
ST-17,2009-12-13,21.76932,79.38387,PTR-T01,Right
ST-06,,21.65873,79.52891,PTR-T03,Left
ST-11,2009-11-06,21.70566,79.54261,PTR-T05,Right
ST-03,2009-10-25,21.62396,79.5613,PTR-T01,Left
ST-11,2009-11-06,21.70204,79.52552,PTR-T03,Left
ST-15,2006-02-01,21.74945,79.49603,PTR-T06,Right
ST-18,2009-12-27,21.77996,79.43805,PTR-T06,Left
ST-16,2011-02-24,21.75431,79.48919,PTR-T05,Left
ST-10,2009-11-12,21.69508,79.49382,PTR-T06,Left
ST-18,2006-01-11,21.77382,79.44834,PTR-T01,Left
ST-11,,21.70585,79.48995,PTR-T05,Left
ST-13,2009-12-04,21.72461,79.41352,PTR-T04,Left
ST-03,2009-12-18,21.82459,79.42083,PTR-T05,Left
ST-12,2009-11-13,21.71424,79.48067,PTR-T05,Right
ST-14,2011-12-17,21.73161,79.43102,PTR-T06,Right
ST-12,2009-11-04,21.71322,79.5084,PTR-T01,Left
ST-12,2006-01-11,21.71992,79.50922,PTR-T01,Right
ST-04,2009-10-28,21.63759,79.49233,PTR-T06,Right
ST-13,2005-01-07,21.7214,79.52853,PTR-T03,Left
ST-11,2009-11-07,21.70562,79.49315,PTR-T06,Left
ST-06,2011-02-24,21.65241,79.52188,PTR-T03,Left
ST-17,2009-11-20,21.76806,79.52046,PTR-T03,Right
ST-15,,21.74777,79.41351,PTR-T04,Left
ST-12,2009-10-26,21.71704,79.5496,PTR-T05,Left
ST-17,,21.76765,79.41292,PTR-T04,Left
ST-15,2006-02-09,21.74082,79.50768,PTR-T01,Left
ST-13,2009-11-12,21.72339,79.42579,PTR-T05,Left
ST-20,2006-01-11,21.79141,79.53108,PTR-T04,Right
ST-13,2006-01-11,21.72025,79.46981,PTR-T03,Right
ST-05,2011-02-23,21.64186,79.53676,PTR-T04,Right
ST-18,2006-01-11,21.77359,79.47549,PTR-T04,Right
ST-15,2006-01-12,21.74965,79.46613,PTR-T03,Left
ST-12,2007-05-06,21.71339,79.46613,PTR-T03,Left
ST-11,2007-04-17,21.70979,79.52013,PTR-T03,Right
ST-19,2005-01-06,21.78214,79.47704,PTR-T04,Left
ST-13,2007-04-17,21.72919,79.50129,PTR-T01,Left
ST-14,2007-05-21,21.73073,79.4749,PTR-T04,Left
ST-12,2009-10-30,21.71129,79.4565,PTR-T02,Left
ST-17,,21.76227,79.48109,PTR-T05,Left
ST-07,2009-11-06,21.66083,79.50325,PTR-T01,Right
ST-18,2006-01-12,21.77936,79.53324,PTR-T04,Right
ST-19,,21.7851,79.48419,PTR-T05,Right
ST-15,,21.74257,79.51652,PTR-T02,Left
ST-17,2006-04-07,21.76886,79.47428,PTR-T04,Right
ST-09,2009-11-12,21.68237,79.5323,PTR-T04,Right
ST-16,2007-04-25,21.75292,79.46933,PTR-T03,Left
ST-18,2007-04-17,21.77049,79.48249,PTR-T05,Right
ST-12,2009-11-21,21.71896,79.46702,PTR-T03,Right
ST-15,2009-12-13,21.74389,79.46054,PTR-T03,Right
ST-11,2007-05-21,21.70329,79.52514,PTR-T03,Left
ST-19,,21.78408,79.49346,PTR-T06,Left
ST-09,2009-11-03,21.6865,79.47503,PTR-T04,Left
ST-20,,21.79731,79.45103,PTR-T02,Right
ST-12,2006-01-04,21.71617,79.46568,PTR-T03,Right
ST-12,2007-05-13,21.71316,79.49527,PTR-T06,Right
ST-17,2007-05-06,21.76805,79.51505,PTR-T02,Left
ST-15,2007-04-17,21.74109,79.44864,PTR-T01,Left
ST-18,2006-02-03,21.7714,79.54287,PTR-T05,Left
ST-13,2006-01-11,21.7294,79.47241,PTR-T04,Left
ST-15,2006-04-10,21.7483,79.40493,PTR-T03,Left
ST-02,2006-02-28,21.81053,79.52174,PTR-T03,Left
ST-13,2009-12-18,21.72992,79.47722,PTR-T04,Left
ST-17,2006-01-11,21.76234,79.50477,PTR-T01,Left
ST-14,2007-05-06,21.73588,79.46796,PTR-T03,Right
ST-11,2007-04-17,21.70289,79.52397,PTR-T03,Left
ST-08,2009-11-06,21.67843,79.55131,PTR-T06,Left
ST-18,2006-02-01,21.77838,79.48379,PTR-T05,Right
ST-12,,21.71928,79.3844,PTR-T01,Left
ST-16,2007-04-17,21.75794,79.47435,PTR-T04,Right
ST-10,2007-04-16,21.69962,79.43886,PTR-T06,Right
ST-18,2006-02-03,21.7715,79.53233,PTR-T04,Left
ST-12,,21.71549,79.52407,PTR-T03,Right
ST-17,2007-04-17,21.76739,79.50001,PTR-T01,Left
ST-18,2006-04-10,21.77858,79.38573,PTR-T01,Left
ST-13,,21.72988,79.49116,PTR-T06,Left
ST-19,2007-04-25,21.78878,79.43931,PTR-T06,Right
ST-06,,21.6511,79.43713,PTR-T06,Right
ST-11,2009-10-23,21.70007,79.52349,PTR-T03,Right
ST-14,2005-02-23,21.73191,79.42025,PTR-T05,Left
ST-15,2005-01-14,21.74826,79.43848,PTR-T06,Right
ST-16,2005-01-13,21.75097,79.47785,PTR-T04,Left
ST-13,2006-01-18,21.72641,79.45882,PTR-T02,Right
ST-04,2009-10-29,21.63555,79.50683,PTR-T01,Left
ST-01,2005-12-27,21.80743,79.44935,PTR-T01,Right
ST-15,2007-04-17,21.74283,79.50011,PTR-T01,Right
ST-19,2007-04-17,21.78022,79.42997,PTR-T05,Right
ST-20,2005-12-27,21.79145,79.39641,PTR-T02,Right
ST-03,2006-04-10,21.8204,79.47345,PTR-T04,Right
ST-12,2006-02-01,21.71621,79.48818,PTR-T05,Right
ST-18,2006-01-09,21.77298,79.51859,PTR-T02,Right
ST-14,2006-03-02,21.73938,79.5025,PTR-T01,Left
ST-16,2006-04-07,21.75626,79.44272,PTR-T01,Left
ST-08,2006-01-25,21.6762,79.4502,PTR-T02,Left
ST-17,2005-01-11,21.76374,79.4856,PTR-T05,Right
ST-11,2004-07-06,21.70371,79.45453,PTR-T02,Left
ST-17,2007-04-17,21.76125,79.47264,PTR-T04,Left
ST-08,2006-02-07,21.67587,79.48153,PTR-T05,Right
ST-16,2007-04-17,21.75086,79.51776,PTR-T02,Left
ST-14,,21.73269,79.53692,PTR-T04,Right
ST-10,2007-05-06,21.69221,79.46254,PTR-T03,Right
ST-14,2005-02-22,21.73248,79.41641,PTR-T04,Left
ST-14,2006-01-10,21.73625,79.52428,PTR-T03,Right
ST-12,2005-02-13,21.71127,79.52034,PTR-T03,Right
ST-11,,21.70836,79.45266,PTR-T02,Right
ST-15,2005-01-06,21.74073,79.41565,PTR-T04,Left
ST-10,2006-01-08,21.697,79.43736,PTR-T06,Right
ST-08,2006-02-01,21.67146,79.5192,PTR-T02,Right
ST-15,2004-05-27,21.74594,79.47645,PTR-T04,Left
ST-16,2005-01-31,21.7522,79.45321,PTR-T02,Right
ST-15,2005-01-13,21.74943,79.4171,PTR-T04,Left
ST-10,2005-03-25,21.69898,79.51698,PTR-T02,Left
ST-11,2007-05-21,21.70881,79.50802,PTR-T01,Left
ST-06,2006-02-09,21.65688,79.47887,PTR-T04,Left
ST-06,2006-02-04,21.65222,79.48399,PTR-T05,Left
ST-19,2005-01-05,21.78646,79.43085,PTR-T06,Right
ST-15,2005-03-03,21.74687,79.39672,PTR-T02,Right
ST-12,2005-03-27,21.71912,79.51791,PTR-T02,Right
ST-14,2007-04-17,21.73845,79.46608,PTR-T03,Left
ST-17,2007-04-17,21.76486,79.46214,PTR-T03,Right
ST-14,2006-02-18,21.7309,79.43254,PTR-T06,Right
ST-20,2007-04-17,21.79147,79.48597,PTR-T05,Right
ST-09,2005-02-02,21.68807,79.49882,PTR-T06,Right
ST-16,2004-06-13,21.75818,79.45071,PTR-T02,Right
ST-12,2005-01-06,21.71868,79.40504,PTR-T03,Left
ST-13,2005-03-08,21.72069,79.45946,PTR-T02,Right
ST-09,2005-02-16,21.68105,79.46216,PTR-T03,Right
ST-17,2006-01-29,21.76834,79.50597,PTR-T01,Right
ST-09,2006-01-30,21.68837,79.52785,PTR-T03,Right
ST-12,2004-07-01,21.71626,79.50948,PTR-T01,Left
ST-14,2005-03-03,21.73748,79.42316,PTR-T05,Right
ST-06,2006-03-19,21.65463,79.52636,PTR-T03,Left
ST-02,2005-03-08,21.81251,79.43166,PTR-T06,Right
ST-10,2006-01-31,21.69247,79.50296,PTR-T01,Right
ST-14,2005-12-29,21.73967,79.36524,PTR-T05,Right
ST-10,2005-04-09,21.69117,79.47143,PTR-T04,Right
ST-18,2005-01-06,21.77572,79.42543,PTR-T05,Right
ST-14,2005-04-09,21.73589,79.46732,PTR-T03,Left
ST-20,2005-02-22,21.79309,79.47488,PTR-T04,Left
ST-11,2005-02-09,21.7008,79.5272,PTR-T03,Right
